Cutflow comparison  T5btbt (m(~g)=1.5TeV m(~chi10)=1.1TeV ctau=10cm)

 ====== Comparing baselineHad :

 *** Cumulative comparison - DF:
                                              Selection :      CL   Paper   Error
                                                    
                                        size(jets) >= 1 :  0.386  0.385  0.260
                                           hardMET > 30 :  0.381  0.382  -0.262
pt(DTksh[0])>pt(DTklg[0]) ? mTDTksh > 20 : mTDTklg > 20 :  0.367  0.374  -1.872
                                   size(electrons) == 0 :  0.335  0.243  37.860
                                       size(muons) == 0 :  0.335  0.243  37.860

 *** Relative comparison:
(In the first line no comparison is done.)
                                              Selection :      CL   Paper   Error
                                                   
                                        size(jets) >= 1 :  100.000  99.824  0.176
                                           hardMET > 30 :  98.593  99.224  -0.636
pt(DTksh[0])>pt(DTklg[0]) ? mTDTksh > 20 : mTDTklg > 20 :  96.506  97.850  -1.374
                                   size(electrons) == 0 :  91.320  64.992  40.510
                                       size(muons) == 0 :  100.000  100.000  0.000

 ====== Comparing baselineMu :

 *** Cumulative comparison - DF:
                                              Selection :      CL   Paper   Error
                                                    
                                        size(jets) >= 1 :  0.386  0.385  0.260
                                           hardMET > 30 :  0.381  0.382  -0.262
pt(DTksh[0])>pt(DTklg[0]) ? mTDTksh > 20 : mTDTklg > 20 :  0.367  0.374  -1.872
                                       size(muons) >= 1 :  0.000  0.067  -100.000
                                   size(electrons) == 0 :  0.000  0.067  -100.000
pt(DTksh[0])>pt(DTklg[0]) ? m(DTksh[0] + muons[0]) > 120 : m(DTklg[0] + muons[0]) > 120 :  0.000  0.062  -100.000
                                             mTmu > 110 :  0.000  0.046  -100.000

 *** Relative comparison:
(In the first line no comparison is done.)
                                              Selection :      CL   Paper   Error
                                                    
                                        size(jets) >= 1 :  100.000  99.824  0.176
                                           hardMET > 30 :  98.593  99.224  -0.636
pt(DTksh[0])>pt(DTklg[0]) ? mTDTksh > 20 : mTDTklg > 20 :  96.506  97.850  -1.374
                                       size(muons) >= 1 :  0.000  18.001  -100.000
                                   size(electrons) == 0 :  0.000  100.000  -100.000
pt(DTksh[0])>pt(DTklg[0]) ? m(DTksh[0] + muons[0]) > 120 : m(DTklg[0] + muons[0]) > 120 :  0.000  91.842  -100.000
                                             mTmu > 110 :  0.000  75.079  -100.000

 ====== Comparing baselineEle :

 *** Cumulative comparison - DF:
                                              Selection :      CL   Paper   Error
                                                   
                                        size(jets) >= 1 :  0.386  0.385  0.260
                                           hardMET > 30 :  0.381  0.382  -0.262
pt(DTksh[0])>pt(DTklg[0]) ? mTDTksh > 20 : mTDTklg > 20 :  0.367  0.374  -1.872
                                   size(electrons) >= 1 :  0.032  0.064  -50.000
                                       size(muons) == 0 :  0.032  0.064  -50.000
pt(DTksh[0])>pt(DTklg[0]) ? m(DTksh[0] + electrons[0]) > 120 : m(DTklg[0] + electrons[0]) > 120 :  0.032  0.060  -46.667
                                            mTele > 110 :  0.024  0.046  -47.826

 *** Relative comparison:
(In the first line no comparison is done.)
                                              Selection :      CL   Paper   Error
                                                    
                                        size(jets) >= 1 :  100.000  99.824  0.176
                                           hardMET > 30 :  98.593  99.224  -0.636
pt(DTksh[0])>pt(DTklg[0]) ? mTDTksh > 20 : mTDTklg > 20 :  96.506  97.850  -1.374
                                   size(electrons) >= 1 :  8.680  17.007  -48.962
                                       size(muons) == 0 :  100.000  100.000  0.000
pt(DTksh[0])>pt(DTklg[0]) ? m(DTksh[0] + electrons[0]) > 120 : m(DTklg[0] + electrons[0]) > 120 :  100.000  94.856  5.423
                                            mTele > 110 :  73.991  77.000  -3.908

 ====== Comparing SR1 :

 *** Cumulative comparison - DF:
                                              Selection :      CL   Paper   Error
                                                   
                                        size(jets) >= 1 :  0.386  0.385  0.260
