mx,my,SR1,SR2,SR3,SR4,SR5,SR6,SR7,SR8,SR9,SR10,SR11,SR12,SR13,SR14,SR15,SR16,SR17,SR18,SR19,SR20,SR21,SR22,SR23,SR24,SR25,SR26,SR27,SR28,SR29,SR30,SR31,SR32,SR33,SR34,SR35,SR36,SR37,SR38,SR39,SR40,SR41,SR42,SR43,SR44,SR45,SR46,SR47,SR48,SR49
1000,1,0.0,0.0,2.515723270440252e-05,0.0,0.0002012578616352,0.0,7.547169811320755e-05,0.0,0.0,0.0,2.515723270440252e-05,0.0,0.0073207547169811,0.0,0.0009559748427672,0.0,0.0,0.0,0.0,0.0,0.0074213836477987,0.0,0.0015345911949685,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0001761006289308,0.0,5.031446540880504e-05,0.0,0.0008050314465408,0.0,0.000125786163522,0.0,0.000251572327044
1000,200,0.0,0.0,2.5058888387711123e-05,5.0117776775422245e-05,0.0003007066606525,0.0001754122187139,0.0003257655490402,0.0004510599909788,0.0001002355535508,2.5058888387711123e-05,2.5058888387711123e-05,0.0001002355535508,0.0120783842028767,0.0065403698691926,0.0109006164486543,0.0125545030822432,0.0002004711071016,7.517666516313337e-05,0.0002255299954894,7.517666516313337e-05,0.0338545582117977,0.0099483786899213,0.0247581817270585,0.0194707562772515,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0003007066606525,0.0002004711071016,0.0002255299954894,0.0003007066606525,0.0037838921465443,0.0013531799729364,0.0031073021600761,0.0024307121736079,0.01127649977447
1000,400,0.0,0.0,0.0,2.512562814070352e-05,2.512562814070352e-05,0.0001507537688442,0.0,0.0005778894472361,0.0,5.025125628140704e-05,5.025125628140704e-05,0.0001256281407035,0.0023115577889447,0.0068844221105527,0.002537688442211,0.0199246231155778,0.0001507537688442,0.0001005025125628,5.025125628140704e-05,0.0002010050251256,0.0056783919597989,0.0098994974874371,0.0069095477386934,0.0261306532663316,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,5.025125628140704e-05,5.025125628140704e-05,0.0001256281407035,7.537688442211056e-05,0.0007035175879396,0.0005778894472361,0.0011557788944723,0.0007286432160804,0.0040452261306532,0.0044472361809045
1000,600,0.0,0.0,0.0,5.041847332862761e-05,0.0,0.0001260461833215,2.520923666431381e-05,0.0005798124432792,0.0,7.562770999294142e-05,2.520923666431381e-05,0.0002016738933145,0.0005041847332862,0.0053695674094988,0.0012352525965513,0.0222345467379247,2.520923666431381e-05,2.520923666431381e-05,0.0,0.0002268831299788,0.0008319048099223,0.0052435212261772,0.0013360895432086,0.0149994958152667,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2.520923666431381e-05,0.0,0.0001764646566501,2.520923666431381e-05,0.0007058586266007,0.0001512554199858,0.0007310678632651,0.0002268831299788,0.0025209236664313,0.0024705051931027
1000,800,0.0,5.014416447285947e-05,0.0,0.0005515858092014,2.5072082236429736e-05,0.0002757929046007,7.521624670928921e-05,0.0027579290460072,0.0,0.0004262253980193,5.014416447285947e-05,0.0016296853453679,0.00035100915131,0.004262253980193,0.000877522878275,0.0200576657891437,0.0,5.014416447285947e-05,2.5072082236429736e-05,0.0006017299736743,0.0002256487401278,0.0032844427729722,0.0005515858092014,0.0121348878024319,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0002256487401278,5.014416447285947e-05,0.0004763695624921,2.5072082236429736e-05,0.0015043249341857,2.5072082236429736e-05,0.0003259370690735,2.5072082236429736e-05,0.0020809828256236,0.0070201830262003
1100,800,0.0,2.4508602519484337e-05,2.4508602519484337e-05,0.0002205774226753,2.4508602519484337e-05,0.0002695946277143,0.0001225430125974,0.0019361795990392,0.0,0.0003186118327532,2.4508602519484337e-05,0.0012499387284937,0.0003921376403117,0.0075241409734816,0.0009558354982598,0.0361501887162394,0.0,0.0,0.0,0.0002941032302338,0.0005146806529091,0.0048036860938189,0.0005882064604676,0.0185530121072496,0,0,0,0,0,0,0,0,0,0,0,0,0.0,4.901720503896868e-05,0.0,2.4508602519484337e-05,2.4508602519484337e-05,0.0003431204352727,9.803441007793736e-05,0.0012009215234547,2.4508602519484337e-05,0.0006127150629871,7.352580755845302e-05,0.0029410323023381,0.0079898044213518
1100,900,0.0,4.882931712200005e-05,2.4414658561000025e-05,0.000537122488342,0.0,0.000439463854098,9.76586342440001e-05,0.002465880514661,2.4414658561000025e-05,0.000195317268488,7.324397568300007e-05,0.001342806220855,0.000219731927049,0.003808686735516,0.000415049195537,0.019556141507361,0.0,9.76586342440001e-05,0.0,0.000439463854098,0.000122073292805,0.002490295173222,0.000463878512659,0.013135086305818,0,0,0,0,0,0,0,0,0,0,0,0,0.0,4.882931712200005e-05,0.0,0.00024414658561,0.0,0.000219731927049,0.0,0.001513708830782,2.4414658561000025e-05,0.000463878512659,7.324397568300007e-05,0.001684611440709,0.007226738934056
1200,1,0.0,0.0,0.0,0.0,0.0001188438866704,0.0,2.376877733409393e-05,0.0,0.0,0.0,0.0,0.0,0.0045398364708119,0.0,0.0008081384293591,0.0,0.0,0.0,0.0,0.0,0.008366609621601,0.0,0.0011409013120365,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0001426126640045,0.0,4.753755466818787e-05,0.0,0.0009982886480319,0.0,0.0001663814413386,0.0,0.000261456550675
1200,200,0.0,0.0,0.0,0.0,0.0002382029965936,0.0001191014982968,0.0002382029965936,0.0001905623972749,4.764059931873943e-05,0.0,0.0001429217979562,2.3820299659369715e-05,0.0113146423382006,0.0051213644267644,0.0096710416617041,0.0078845191872513,0.000262023296253,2.3820299659369715e-05,0.0001667420976155,2.3820299659369715e-05,0.0497606059884233,0.011600485934113,0.0353969652938234,0.0192229818251113,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.3820299659369715e-05,0.0,0.0004287653938686,7.146089897810914e-05,0.0001429217979562,0.0001667420976155,0.0055739501202925,0.0013815773802434,0.003549224649246,0.0022152878683213,0.0136013911055001
1200,400,0.0,0.0,0.0,0.0,2.3814626943868923e-05,9.52585077754757e-05,7.144388083160678e-05,0.0003095901502702,4.762925388773785e-05,2.3814626943868923e-05,0.0,0.0002857755233264,0.0020242432902288,0.0059298421090233,0.0029768283679836,0.0149794003476935,9.52585077754757e-05,0.0001428877616632,4.762925388773785e-05,0.0002143316424948,0.0109547283941797,0.0154080636326831,0.0105498797361339,0.0356743111619156,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2.3814626943868923e-05,0.0,2.3814626943868923e-05,7.144388083160678e-05,0.0001428877616632,4.762925388773785e-05,0.0005715510466528,0.0011192874663618,0.0022385749327236,0.0012859898549689,0.0043342621037841,0.0058583982281917
